START: śr. 15 lip 2026 14:50:36 CEST
00:00.259  blend            | Read blend: "/Users/kacpermioduszewski/mioduszewsky-com/assets/logo3d/fur.blend"
02:34.672  render           | Fra: 1 | Remaining: 00:21.63 | Mem: 3496M | Sample 112/128
03:00.468  render           | Fra: 1 | Mem: 3496M | Sample 128/128
03:00.471  render           | Fra: 1 | Mem: 3496M | Finished
03:00.607  render           | Saved: '/Users/kacpermioduszewski/mioduszewsky-com/assets/logo3d/frames_dal/f_0001.png'
03:00.607  render           | Time: 02:59.96 (Saving: 00:00.04)
03:00.607  render           | Rendering frame 2
03:00.609  render           | Start rendering: Scene, ViewLayer
03:00.609  render           | Engine: Cycles
03:01.493  render           | Fra: 2 | Mem: 0M | Synchronizing object | L_0_m
03:01.493  render           | Fra: 2 | Mem: 0M | Synchronizing object | L_1_i
03:01.493  render           | Fra: 2 | Mem: 0M | Synchronizing object | L_0_m
03:01.493  render           | Fra: 2 | Mem: 0M | Synchronizing object | L_2_o
03:01.493  render           | Fra: 2 | Mem: 0M | Synchronizing object | L_1_i
03:01.494  render           | Fra: 2 | Mem: 0M | Synchronizing object | L_2_o
03:01.494  render           | Fra: 2 | Mem: 0M | Synchronizing object | L_3_d
03:01.494  render           | Fra: 2 | Mem: 0M | Synchronizing object | L_4_u
03:01.494  render           | Fra: 2 | Mem: 0M | Synchronizing object | L_5_s
03:01.494  render           | Fra: 2 | Mem: 0M | Synchronizing object | L_6_z
03:01.495  render           | Fra: 2 | Mem: 0M | Synchronizing object | L_7_e
03:01.496  render           | Fra: 2 | Mem: 0M | Synchronizing object | L_8_w
03:01.496  render           | Fra: 2 | Mem: 0M | Synchronizing object | L_9_s
03:01.497  render           | Fra: 2 | Mem: 0M | Synchronizing object | L_8_w
03:01.497  render           | Fra: 2 | Mem: 0M | Synchronizing object | L_10_k
03:01.497  render           | Fra: 2 | Mem: 0M | Synchronizing object | L_11_y
03:01.498  render           | Fra: 2 | Mem: 0M | Synchronizing object | rim_r
03:01.498  render           | Fra: 2 | Mem: 0M | Synchronizing object | rim_l
03:01.498  render           | Fra: 2 | Mem: 0M | Synchronizing object | fill
03:01.498  render           | Fra: 2 | Mem: 0M | Synchronizing object | key
03:01.498  render           | Fra: 2 | Mem: 0M | Synchronizing object | L_11_y
03:01.533  render           | Fra: 2 | Mem: 0M | Synchronizing object | L_9_s
03:01.565  render           | Fra: 2 | Mem: 0M | Synchronizing object | L_10_k
03:01.641  render           | Fra: 2 | Mem: 0M | Initializing
03:01.642  render           | Fra: 2 | Mem: 0M | Waiting for render to start
03:01.642  render           | Fra: 2 | Mem: 0M | Updating Scene
03:01.642  render           | Fra: 2 | Mem: 0M | Updating Shaders
03:01.642  render           | Fra: 2 | Mem: 0M | Loading render kernels (may take a few minutes the first time)
03:01.643  render           | Fra: 2 | Mem: 1M | Updating Procedurals
03:01.643  render           | Fra: 2 | Mem: 1M | Updating Background
03:01.643  render           | Fra: 2 | Mem: 1M | Updating Camera
03:01.643  render           | Fra: 2 | Mem: 1M | Updating Meshes Flags
03:01.643  render           | Fra: 2 | Mem: 1M | Updating Objects
03:01.643  render           | Fra: 2 | Mem: 1M | Updating Objects | Copying Transformations to device
03:01.643  render           | Fra: 2 | Mem: 1M | Updating Particle Systems
03:01.643  render           | Fra: 2 | Mem: 1M | Updating Particle Systems | Copying Particles to device
03:01.643  render           | Fra: 2 | Mem: 1M | Updating Meshes
03:01.643  render           | Fra: 2 | Mem: 1M | Updating Objects | Applying Static Transformations
03:01.674  render           | Fra: 2 | Mem: 1M | Updating Mesh | Computing attributes
03:01.700  render           | Fra: 2 | Mem: 1M | Updating Mesh | Copying Attributes to device
03:01.759  render           | Fra: 2 | Mem: 105M | Updating Scene BVH | Building
03:01.759  render           | Fra: 2 | Mem: 105M | Updating Scene BVH | Building BVH
03:01.799  render           | Fra: 2 | Mem: 1198M | Updating Scene BVH | Building BVH 0%
03:02.049  render           | Fra: 2 | Mem: 1277M | Updating Scene BVH | Building BVH 5%
03:02.299  render           | Fra: 2 | Mem: 1553M | Updating Scene BVH | Building BVH 21%
03:02.549  render           | Fra: 2 | Mem: 1843M | Updating Scene BVH | Building BVH 37%
03:02.799  render           | Fra: 2 | Mem: 2133M | Updating Scene BVH | Building BVH 55%
03:03.049  render           | Fra: 2 | Mem: 2411M | Updating Scene BVH | Building BVH 71%
03:03.299  render           | Fra: 2 | Mem: 2671M | Updating Scene BVH | Building BVH 86%
03:03.550  render           | Fra: 2 | Mem: 2793M | Updating Scene BVH | Building BVH 93%
03:03.669  render           | Fra: 2 | Mem: 2907M | Updating Scene BVH | Copying BVH to device
03:03.669  render           | Fra: 2 | Mem: 2907M | Updating Mesh | Computing normals
03:03.670  render           | Fra: 2 | Mem: 2907M | Updating Mesh | Copying Mesh to device
03:03.670  render           | Fra: 2 | Mem: 2910M | Updating Mesh | Copying Curves to device
03:03.792  render           | Fra: 2 | Mem: 3424M | Updating Objects Flags
03:03.792  render           | Fra: 2 | Mem: 3424M | Updating Primitive Offsets
03:03.792  render           | Fra: 2 | Mem: 3424M | Updating Images
03:03.792  render           | Fra: 2 | Mem: 3424M | Updating Volume
03:03.792  render           | Fra: 2 | Mem: 3424M | Updating Camera Volume
03:03.792  render           | Fra: 2 | Mem: 3424M | Updating Lookup Tables
03:03.792  render           | Fra: 2 | Mem: 3424M | Updating Lights
03:03.792  render           | Fra: 2 | Mem: 3424M | Updating Lights | Computing tree
03:03.792  render           | Fra: 2 | Mem: 3424M | Updating Integrator
03:03.792  render           | Fra: 2 | Mem: 3425M | Updating Film
03:03.792  render           | Fra: 2 | Mem: 3425M | Updating Lookup Tables
03:03.792  render           | Fra: 2 | Mem: 3425M | Updating Baking
03:03.792  render           | Fra: 2 | Mem: 3425M | Updating Device | Writing constant memory
03:03.792  render           | Fra: 2 | Mem: 3425M | Loading denoising kernels (may take a few minutes the first time)
03:03.792  render           | Fra: 2 | Mem: 3425M | Sample 0/128
03:05.694  render           | Fra: 2 | Remaining: 04:01.55 | Mem: 3500M | Sample 1/128
03:29.718  render           | Fra: 2 | Remaining: 02:49.28 | Mem: 3500M | Sample 17/128
03:53.520  render           | Fra: 2 | Remaining: 02:23.15 | Mem: 3500M | Sample 33/128
04:16.818  render           | Fra: 2 | Remaining: 01:57.73 | Mem: 3500M | Sample 49/128
04:39.763  render           | Fra: 2 | Remaining: 01:33.01 | Mem: 3500M | Sample 65/128
05:01.104  render           | Fra: 2 | Remaining: 01:10.38 | Mem: 3500M | Sample 80/128
05:23.779  render           | Fra: 2 | Remaining: 00:46.66 | Mem: 3500M | Sample 96/128
05:46.202  render           | Fra: 2 | Remaining: 00:23.20 | Mem: 3500M | Sample 112/128
06:11.219  render           | Fra: 2 | Mem: 3500M | Sample 128/128
06:11.219  render           | Fra: 2 | Mem: 3500M | Finished
06:11.361  render           | Saved: '/Users/kacpermioduszewski/mioduszewsky-com/assets/logo3d/frames_dal/f_0002.png'
06:11.361  render           | Time: 03:10.75 (Saving: 00:00.03)
06:11.361  render           | Rendering frame 3
06:11.363  render           | Start rendering: Scene, ViewLayer
06:11.363  render           | Engine: Cycles
06:12.218  render           | Fra: 3 | Mem: 0M | Synchronizing object | L_0_m
06:12.219  render           | Fra: 3 | Mem: 0M | Synchronizing object | L_1_i
06:12.219  render           | Fra: 3 | Mem: 0M | Synchronizing object | L_2_o
06:12.219  render           | Fra: 3 | Mem: 0M | Synchronizing object | L_1_i
06:12.219  render           | Fra: 3 | Mem: 0M | Synchronizing object | L_2_o
06:12.219  render           | Fra: 3 | Mem: 0M | Synchronizing object | L_3_d
06:12.220  render           | Fra: 3 | Mem: 0M | Synchronizing object | L_4_u
06:12.220  render           | Fra: 3 | Mem: 0M | Synchronizing object | L_5_s
06:12.220  render           | Fra: 3 | Mem: 0M | Synchronizing object | L_6_z
06:12.221  render           | Fra: 3 | Mem: 0M | Synchronizing object | L_7_e
06:12.222  render           | Fra: 3 | Mem: 0M | Synchronizing object | L_8_w
06:12.222  render           | Fra: 3 | Mem: 0M | Synchronizing object | L_7_e
06:12.223  render           | Fra: 3 | Mem: 0M | Synchronizing object | L_9_s
06:12.224  render           | Fra: 3 | Mem: 0M | Synchronizing object | L_10_k
06:12.224  render           | Fra: 3 | Mem: 0M | Synchronizing object | L_8_w
06:12.224  render           | Fra: 3 | Mem: 0M | Synchronizing object | L_11_y
06:12.225  render           | Fra: 3 | Mem: 0M | Synchronizing object | rim_r
06:12.225  render           | Fra: 3 | Mem: 0M | Synchronizing object | rim_l
06:12.225  render           | Fra: 3 | Mem: 0M | Synchronizing object | fill
06:12.225  render           | Fra: 3 | Mem: 0M | Synchronizing object | key
06:12.225  render           | Fra: 3 | Mem: 0M | Synchronizing object | L_11_y
06:12.258  render           | Fra: 3 | Mem: 0M | Synchronizing object | L_9_s
06:12.290  render           | Fra: 3 | Mem: 0M | Synchronizing object | L_10_k
06:12.356  render           | Fra: 3 | Mem: 0M | Initializing
06:12.357  render           | Fra: 3 | Mem: 0M | Waiting for render to start
06:12.357  render           | Fra: 3 | Mem: 0M | Updating Scene
06:12.357  render           | Fra: 3 | Mem: 0M | Updating Shaders
06:12.357  render           | Fra: 3 | Mem: 0M | Loading render kernels (may take a few minutes the first time)
06:12.357  render           | Fra: 3 | Mem: 1M | Updating Procedurals
06:12.357  render           | Fra: 3 | Mem: 1M | Updating Background
06:12.357  render           | Fra: 3 | Mem: 1M | Updating Camera
06:12.357  render           | Fra: 3 | Mem: 1M | Updating Meshes Flags
06:12.357  render           | Fra: 3 | Mem: 1M | Updating Objects
06:12.357  render           | Fra: 3 | Mem: 1M | Updating Objects | Copying Transformations to device
06:12.357  render           | Fra: 3 | Mem: 1M | Updating Particle Systems
06:12.357  render           | Fra: 3 | Mem: 1M | Updating Particle Systems | Copying Particles to device
06:12.357  render           | Fra: 3 | Mem: 1M | Updating Meshes
06:12.357  render           | Fra: 3 | Mem: 1M | Updating Objects | Applying Static Transformations
06:12.385  render           | Fra: 3 | Mem: 1M | Updating Mesh | Computing attributes
06:12.411  render           | Fra: 3 | Mem: 1M | Updating Mesh | Copying Attributes to device
06:12.467  render           | Fra: 3 | Mem: 105M | Updating Scene BVH | Building
06:12.467  render           | Fra: 3 | Mem: 105M | Updating Scene BVH | Building BVH
06:12.509  render           | Fra: 3 | Mem: 1198M | Updating Scene BVH | Building BVH 0%
06:12.759  render           | Fra: 3 | Mem: 1293M | Updating Scene BVH | Building BVH 6%
06:13.009  render           | Fra: 3 | Mem: 1611M | Updating Scene BVH | Building BVH 25%
06:13.259  render           | Fra: 3 | Mem: 1939M | Updating Scene BVH | Building BVH 43%
06:13.259  render           | Fra: 3 | Mem: 1939M | Updating Scene BVH | Building BVH 44%
06:13.509  render           | Fra: 3 | Mem: 2261M | Updating Scene BVH | Building BVH 62%
06:13.759  render           | Fra: 3 | Mem: 2575M | Updating Scene BVH | Building BVH 80%
06:14.009  render           | Fra: 3 | Mem: 2807M | Updating Scene BVH | Building BVH 94%
06:14.152  render           | Fra: 3 | Mem: 2901M | Updating Scene BVH | Copying BVH to device
06:14.153  render           | Fra: 3 | Mem: 2901M | Updating Mesh | Computing normals
06:14.155  render           | Fra: 3 | Mem: 2901M | Updating Mesh | Copying Mesh to device
06:14.155  render           | Fra: 3 | Mem: 2904M | Updating Mesh | Copying Curves to device
06:14.267  render           | Fra: 3 | Mem: 3418M | Updating Objects Flags
06:14.267  render           | Fra: 3 | Mem: 3418M | Updating Primitive Offsets
06:14.267  render           | Fra: 3 | Mem: 3418M | Updating Images
06:14.267  render           | Fra: 3 | Mem: 3418M | Updating Volume
06:14.267  render           | Fra: 3 | Mem: 3418M | Updating Camera Volume
06:14.267  render           | Fra: 3 | Mem: 3418M | Updating Lookup Tables
06:14.267  render           | Fra: 3 | Mem: 3418M | Updating Lights
06:14.267  render           | Fra: 3 | Mem: 3418M | Updating Lights | Computing tree
06:14.267  render           | Fra: 3 | Mem: 3418M | Updating Integrator
06:14.268  render           | Fra: 3 | Mem: 3419M | Updating Film
06:14.268  render           | Fra: 3 | Mem: 3419M | Updating Lookup Tables
06:14.268  render           | Fra: 3 | Mem: 3419M | Updating Baking
06:14.268  render           | Fra: 3 | Mem: 3419M | Updating Device | Writing constant memory
06:14.268  render           | Fra: 3 | Mem: 3419M | Loading denoising kernels (may take a few minutes the first time)
06:14.268  render           | Fra: 3 | Mem: 3419M | Sample 0/128
06:15.919  render           | Fra: 3 | Remaining: 03:29.71 | Mem: 3494M | Sample 1/128
06:38.896  render           | Fra: 3 | Remaining: 02:40.80 | Mem: 3494M | Sample 17/128
07:01.689  render           | Fra: 3 | Remaining: 02:16.51 | Mem: 3494M | Sample 33/128
07:24.749  render           | Fra: 3 | Remaining: 01:53.63 | Mem: 3494M | Sample 49/128
07:47.852  render           | Fra: 3 | Remaining: 01:30.70 | Mem: 3494M | Sample 65/128
08:09.458  render           | Fra: 3 | Remaining: 01:09.11 | Mem: 3494M | Sample 80/128
08:32.248  render           | Fra: 3 | Remaining: 00:45.99 | Mem: 3494M | Sample 96/128
08:54.858  render           | Fra: 3 | Remaining: 00:22.94 | Mem: 3494M | Sample 112/128
09:19.972  render           | Fra: 3 | Mem: 3494M | Sample 128/128
09:19.976  render           | Fra: 3 | Mem: 3494M | Finished
09:20.077  render           | Saved: '/Users/kacpermioduszewski/mioduszewsky-com/assets/logo3d/frames_dal/f_0003.png'
09:20.077  render           | Time: 03:08.71 (Saving: 00:00.03)
09:20.077  render           | Rendering frame 4
09:20.079  render           | Start rendering: Scene, ViewLayer
09:20.079  render           | Engine: Cycles
09:20.972  render           | Fra: 4 | Mem: 0M | Synchronizing object | L_0_m
09:20.972  render           | Fra: 4 | Mem: 0M | Synchronizing object | L_1_i
09:20.972  render           | Fra: 4 | Mem: 0M | Synchronizing object | L_2_o
09:20.972  render           | Fra: 4 | Mem: 0M | Synchronizing object | L_3_d
09:20.972  render           | Fra: 4 | Mem: 0M | Synchronizing object | L_2_o
