START: pt. 17 lip 2026 10:58:46 CEST
00:00.254  blend            | Read blend: "/Users/kacpermioduszewski/mioduszewsky-com/assets/logo3d/fur.blend"
03:11.272  render           | Fra: 1 | Remaining: 02:26.29 | Mem: 3459M | Sample 144/256
03:33.364  render           | Fra: 1 | Remaining: 02:06.11 | Mem: 3459M | Sample 160/256
03:55.437  render           | Fra: 1 | Remaining: 01:45.57 | Mem: 3459M | Sample 176/256
04:17.710  render           | Fra: 1 | Remaining: 01:24.84 | Mem: 3459M | Sample 192/256
04:40.233  render           | Fra: 1 | Remaining: 01:03.93 | Mem: 3459M | Sample 208/256
05:02.696  render           | Fra: 1 | Remaining: 00:42.78 | Mem: 3459M | Sample 224/256
05:25.781  render           | Fra: 1 | Remaining: 00:21.50 | Mem: 3459M | Sample 240/256
05:49.138  render           | Fra: 1 | Mem: 3459M | Sample 256/256
05:49.138  render           | Fra: 1 | Mem: 3459M | Finished
05:49.245  render           | Saved: '/Users/kacpermioduszewski/mioduszewsky-com/assets/logo3d/frames_dal/f_0001.png'
05:49.245  render           | Time: 05:48.63 (Saving: 00:00.05)
05:49.245  render           | Rendering frame 2
05:49.247  render           | Start rendering: Scene, ViewLayer
05:49.247  render           | Engine: Cycles
05:50.191  render           | Fra: 2 | Mem: 0M | Synchronizing object | L_0_m
05:50.192  render           | Fra: 2 | Mem: 0M | Synchronizing object | L_1_i
05:50.192  render           | Fra: 2 | Mem: 0M | Synchronizing object | L_2_o
05:50.192  render           | Fra: 2 | Mem: 0M | Synchronizing object | L_3_d
05:50.193  render           | Fra: 2 | Mem: 0M | Synchronizing object | L_4_u
05:50.193  render           | Fra: 2 | Mem: 0M | Synchronizing object | L_5_s
05:50.193  render           | Fra: 2 | Mem: 0M | Synchronizing object | L_4_u
05:50.193  render           | Fra: 2 | Mem: 0M | Synchronizing object | L_5_s
05:50.193  render           | Fra: 2 | Mem: 0M | Synchronizing object | L_6_z
05:50.193  render           | Fra: 2 | Mem: 0M | Synchronizing object | L_7_e
05:50.194  render           | Fra: 2 | Mem: 0M | Synchronizing object | L_8_w
05:50.195  render           | Fra: 2 | Mem: 0M | Synchronizing object | L_9_s
05:50.196  render           | Fra: 2 | Mem: 0M | Synchronizing object | L_10_k
05:50.197  render           | Fra: 2 | Mem: 0M | Synchronizing object | L_11_y
05:50.197  render           | Fra: 2 | Mem: 0M | Synchronizing object | L_8_w
05:50.197  render           | Fra: 2 | Mem: 0M | Synchronizing object | rim_r
05:50.197  render           | Fra: 2 | Mem: 0M | Synchronizing object | rim_l
05:50.197  render           | Fra: 2 | Mem: 0M | Synchronizing object | fill
05:50.197  render           | Fra: 2 | Mem: 0M | Synchronizing object | key
05:50.197  render           | Fra: 2 | Mem: 0M | Synchronizing object | L_11_y
05:50.234  render           | Fra: 2 | Mem: 0M | Synchronizing object | L_9_s
05:50.265  render           | Fra: 2 | Mem: 0M | Synchronizing object | L_10_k
05:50.338  render           | Fra: 2 | Mem: 0M | Initializing
05:50.339  render           | Fra: 2 | Mem: 0M | Waiting for render to start
05:50.339  render           | Fra: 2 | Mem: 0M | Updating Scene
05:50.339  render           | Fra: 2 | Mem: 0M | Updating Shaders
05:50.339  render           | Fra: 2 | Mem: 0M | Loading render kernels (may take a few minutes the first time)
05:50.339  render           | Fra: 2 | Mem: 1M | Updating Procedurals
05:50.339  render           | Fra: 2 | Mem: 1M | Updating Background
05:50.339  render           | Fra: 2 | Mem: 1M | Updating Camera
05:50.339  render           | Fra: 2 | Mem: 1M | Updating Meshes Flags
05:50.339  render           | Fra: 2 | Mem: 1M | Updating Objects
05:50.339  render           | Fra: 2 | Mem: 1M | Updating Objects | Copying Transformations to device
05:50.339  render           | Fra: 2 | Mem: 1M | Updating Particle Systems
05:50.339  render           | Fra: 2 | Mem: 1M | Updating Particle Systems | Copying Particles to device
05:50.339  render           | Fra: 2 | Mem: 1M | Updating Meshes
05:50.339  render           | Fra: 2 | Mem: 1M | Updating Objects | Applying Static Transformations
05:50.369  render           | Fra: 2 | Mem: 1M | Updating Mesh | Computing attributes
05:50.390  render           | Fra: 2 | Mem: 1M | Updating Mesh | Copying Attributes to device
05:50.448  render           | Fra: 2 | Mem: 105M | Updating Scene BVH | Building
05:50.448  render           | Fra: 2 | Mem: 105M | Updating Scene BVH | Building BVH
05:50.480  render           | Fra: 2 | Mem: 1198M | Updating Scene BVH | Building BVH 0%
05:50.730  render           | Fra: 2 | Mem: 1309M | Updating Scene BVH | Building BVH 7%
