00:00.201  blend            | Read blend: "/Users/kacpermioduszewski/mioduszewsky-com/assets/logo3d/fur.blend"
00:00.568  render           | Rendering single frame
00:00.569  render           | Rendering frame 1
00:00.569  render           | Start rendering: Scene, ViewLayer
00:00.569  render           | Engine: Cycles
00:01.373  render           | Fra: 1 | Mem: 0M | Synchronizing object | L_0_m
Blender 5.1.2 (hash ec6e62d40fa9 built 2026-05-19 01:30:33)
00:01.374  render           | Fra: 1 | Mem: 0M | Synchronizing object | L_1_i
00:01.374  render           | Fra: 1 | Mem: 0M | Synchronizing object | L_0_m
00:01.374  render           | Fra: 1 | Mem: 0M | Synchronizing object | L_2_o
00:01.374  render           | Fra: 1 | Mem: 0M | Synchronizing object | L_1_i
00:01.374  render           | Fra: 1 | Mem: 0M | Synchronizing object | L_3_d
00:01.374  render           | Fra: 1 | Mem: 0M | Synchronizing object | L_2_o
00:01.374  render           | Fra: 1 | Mem: 0M | Synchronizing object | L_3_d
00:01.374  render           | Fra: 1 | Mem: 0M | Synchronizing object | L_4_u
00:01.375  render           | Fra: 1 | Mem: 0M | Synchronizing object | L_5_s
00:01.375  render           | Fra: 1 | Mem: 0M | Synchronizing object | L_4_u
00:01.375  render           | Fra: 1 | Mem: 0M | Synchronizing object | L_5_s
00:01.375  render           | Fra: 1 | Mem: 0M | Synchronizing object | L_6_z
00:01.375  render           | Fra: 1 | Mem: 0M | Synchronizing object | L_7_e
00:01.375  render           | Fra: 1 | Mem: 0M | Synchronizing object | L_6_z
00:01.376  render           | Fra: 1 | Mem: 0M | Synchronizing object | L_8_w
00:01.376  render           | Fra: 1 | Mem: 0M | Synchronizing object | L_7_e
00:01.376  render           | Fra: 1 | Mem: 0M | Synchronizing object | L_9_s
00:01.376  render           | Fra: 1 | Mem: 0M | Synchronizing object | L_8_w
00:01.377  render           | Fra: 1 | Mem: 0M | Synchronizing object | L_10_k
00:01.378  render           | Fra: 1 | Mem: 0M | Synchronizing object | L_11_y
00:01.379  render           | Fra: 1 | Mem: 0M | Synchronizing object | rim_r
00:01.379  render           | Fra: 1 | Mem: 0M | Synchronizing object | rim_l
00:01.379  render           | Fra: 1 | Mem: 0M | Synchronizing object | fill
00:01.379  render           | Fra: 1 | Mem: 0M | Synchronizing object | key
00:01.379  render           | Fra: 1 | Mem: 0M | Synchronizing object | L_11_y
00:01.409  render           | Fra: 1 | Mem: 0M | Synchronizing object | L_9_s
00:01.428  render           | Fra: 1 | Mem: 0M | Synchronizing object | L_10_k
00:01.477  render           | Fra: 1 | Mem: 0M | Initializing
00:01.478  render           | Fra: 1 | Mem: 0M | Waiting for render to start
00:01.478  render           | Fra: 1 | Mem: 0M | Updating Scene
00:01.478  render           | Fra: 1 | Mem: 0M | Updating Shaders
00:01.478  render           | Fra: 1 | Mem: 0M | Loading render kernels (may take a few minutes the first time)
00:01.478  render           | Fra: 1 | Mem: 1M | Updating Procedurals
00:01.478  render           | Fra: 1 | Mem: 1M | Updating Background
00:01.478  render           | Fra: 1 | Mem: 1M | Updating Camera
00:01.478  render           | Fra: 1 | Mem: 1M | Updating Meshes Flags
00:01.478  render           | Fra: 1 | Mem: 1M | Updating Objects
00:01.478  render           | Fra: 1 | Mem: 1M | Updating Objects | Copying Transformations to device
00:01.478  render           | Fra: 1 | Mem: 1M | Updating Particle Systems
00:01.478  render           | Fra: 1 | Mem: 1M | Updating Particle Systems | Copying Particles to device
00:01.478  render           | Fra: 1 | Mem: 1M | Updating Meshes
00:01.478  render           | Fra: 1 | Mem: 1M | Updating Objects | Applying Static Transformations
00:01.501  render           | Fra: 1 | Mem: 1M | Updating Mesh | Computing attributes
00:01.515  render           | Fra: 1 | Mem: 1M | Updating Mesh | Copying Attributes to device
00:01.573  render           | Fra: 1 | Mem: 105M | Updating Scene BVH | Building
00:01.573  render           | Fra: 1 | Mem: 105M | Updating Scene BVH | Building BVH
00:01.614  render           | Fra: 1 | Mem: 1198M | Updating Scene BVH | Building BVH 0%
00:01.864  render           | Fra: 1 | Mem: 1291M | Updating Scene BVH | Building BVH 6%
00:02.114  render           | Fra: 1 | Mem: 1653M | Updating Scene BVH | Building BVH 27%
00:02.364  render           | Fra: 1 | Mem: 1797M | Updating Scene BVH | Building BVH 36%
00:02.614  render           | Fra: 1 | Mem: 2097M | Updating Scene BVH | Building BVH 53%
00:02.865  render           | Fra: 1 | Mem: 2387M | Updating Scene BVH | Building BVH 70%
00:03.116  render           | Fra: 1 | Mem: 2693M | Updating Scene BVH | Building BVH 88%
00:03.338  render           | Fra: 1 | Mem: 2907M | Updating Scene BVH | Copying BVH to device
00:03.338  render           | Fra: 1 | Mem: 2907M | Updating Mesh | Computing normals
00:03.339  render           | Fra: 1 | Mem: 2907M | Updating Mesh | Copying Mesh to device
00:03.339  render           | Fra: 1 | Mem: 2910M | Updating Mesh | Copying Curves to device
00:03.481  render           | Fra: 1 | Mem: 3424M | Updating Objects Flags
00:03.481  render           | Fra: 1 | Mem: 3424M | Updating Primitive Offsets
00:03.481  render           | Fra: 1 | Mem: 3424M | Updating Images
00:03.481  render           | Fra: 1 | Mem: 3424M | Updating Volume
00:03.482  render           | Fra: 1 | Mem: 3424M | Updating Camera Volume
00:03.482  render           | Fra: 1 | Mem: 3424M | Updating Lookup Tables
00:03.482  render           | Fra: 1 | Mem: 3424M | Updating Lights
00:03.482  render           | Fra: 1 | Mem: 3424M | Updating Lights | Computing tree
00:03.482  render           | Fra: 1 | Mem: 3424M | Updating Integrator
00:03.482  render           | Fra: 1 | Mem: 3425M | Updating Film
00:03.482  render           | Fra: 1 | Mem: 3425M | Updating Lookup Tables
